,Opening Price,Closing Price,High,Returns,Volatility,Rolling_Corr
2018-08-03,-0.09562669128410314,-0.09584563656631451,-0.09758302548866415,0.01950701916897923,0.1159610342290048,0.06590365658250145
2018-08-04,-0.09562669237480338,-0.09584563755461391,-0.09758302657191875,0.019507020925417617,0.11596104770494889,0.0659036589386835
2018-08-05,-0.09562669328459077,-0.09584563837898546,-0.09758302747549548,0.01950702239051782,0.11596105894565598,0.06590366090404869
2018-08-06,-0.09562669404347283,-0.09584563906661953,-0.09758302822919701,0.019507023612603838,0.11596106832188173,0.06590366254342143
2018-08-07,-0.09562669467648005,-0.09584563964019666,-0.0975830288578831,0.01950702463198408,0.11596107614288532,0.06590366391087348
2018-08-08,-0.09562669520449141,-0.09584564011863542,-0.09758302938228991,0.01950702548228092,0.11596108266662941,0.06590366505150815
2018-08-09,-0.09562669564492185,-0.09584564051771582,-0.09758302981971377,0.019507026191540416,0.11596108810828845,0.0659036660029473
2018-08-10,-0.09562669601229914,-0.09584564085060182,-0.09758303018458322,0.019507026783155714,0.115961092647347,0.0659036667965722
2018-08-11,-0.09562669631873968,-0.09584564112827201,-0.09758303048893185,0.019507027276640634,0.11596109643351767,0.06590366745855997
2018-08-12,-0.09562669657435145,-0.09584564135988562,-0.09758303074279864,0.019507027688271915,0.1159610995916812,0.06590366801074454
2018-08-13,-0.09562669678756527,-0.09584564155308171,-0.097583030954557,0.019507028031626513,0.11596110222600439,0.0659036684713389
2018-08-14,-0.0956266969654137,-0.09584564171423278,-0.09758303113119134,0.01950702831802917,0.11596110442337589,0.06590366885553511
2018-08-15,-0.0956266971137624,-0.09584564184865368,-0.09758303127852729,0.019507028556926705,0.11596110625627219,0.06590366917600533
2018-08-16,-0.09562669723750485,-0.0958456419607785,-0.09758303140142502,0.019507028756198648,0.11596110778514845,0.06590366944331935
2018-08-17,-0.09562669734072222,-0.09584564205430536,-0.09758303150393785,0.01950702892241747,0.11596110906043205,0.0659036696662945
2018-08-18,-0.09562669742681909,-0.0958456421323189,-0.09758303158944692,0.01950702906106585,0.115961110124186,0.06590366985228514
2018-08-19,-0.09562669749863512,-0.09584564219739249,-0.09758303166077273,0.019507029176716956,0.11596111101149638,0.0659036700074257
2018-08-20,-0.09562669755853945,-0.09584564225167262,-0.09758303172026808,0.019507029273184998,0.11596111175162999,0.0659036701368331
